Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Realme,realme Gt 7,"₹35,999",4.5,195 Ratings & 18 Reviews,8,256.0,7000.0,6.7,50MP
Realme,realme GT 6T 5G,"₹28,728",4.5,"3,345 Ratings & 248 Reviews",8,256.0,5500.0,6.78,50MP
Realme,realme 13+ 5G,"₹23,999",4.3,399 Ratings & 39 Reviews,12,256.0,5000.0,6.67,50MP
Realme,realme 70 TURBO 5G,"₹14,777",4.3,"6,218 Ratings & 466 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme Narzo N65 5G,"₹13,870",4.2,490 Ratings & 23 Reviews,8,128.0,5000.0,6.67,50MP
Realme,realme GT 6T 5G,"₹33,447",4.5,"1,249 Ratings & 108 Reviews",12,512.0,5500.0,6.78,50MP
Realme,realme GT Neo 3T,"₹31,999",4.3,"16,232 Ratings & 1,501 Reviews",8,128.0,5000.0,6.62,64MP
Realme,realme Narzo N65 5G,"₹13,870",4.2,490 Ratings & 23 Reviews,8,128.0,5000.0,6.67,50MP
Realme,realme 70 TURBO 5G,"₹14,777",4.3,"6,218 Ratings & 466 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme C63,"₹10,999",4.3,"11,796 Ratings & 572 Reviews",4,128.0,5000.0,6.745,50MP
Realme,realme 14 Pro 5G,"₹24,999",4.4,"13,639 Ratings & 1,008 Reviews",8,128.0,6000.0,6.77,50MP
Realme,realme 14 Pro 5G,"₹24,999",4.4,"13,639 Ratings & 1,008 Reviews",8,128.0,6000.0,6.77,50MP
Realme,realme GT 6T 5G,"₹31,498",4.5,"1,249 Ratings & 108 Reviews",12,256.0,5500.0,6.78,50MP
Realme,realme GT 6T 5G,"₹31,499",4.5,"1,249 Ratings & 108 Reviews",12,256.0,5500.0,6.78,50MP
Realme,realme GT Neo 3T,"₹31,999",4.3,"16,232 Ratings & 1,501 Reviews",8,128.0,5000.0,6.62,64MP
Realme,realme 70 TURBO 5G,"₹18,886",4.4,"4,295 Ratings & 312 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme P1 Speed 5G,"₹17,999",4.3,"3,095 Ratings & 295 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme GT Neo 3T,"₹33,999",4.3,"16,232 Ratings & 1,501 Reviews",8,256.0,5000.0,6.62,64MP
Realme,realme P2 Pro 5G,"₹17,999",4.4,"19,215 Ratings & 1,342 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme P2 Pro 5G,"₹17,999",4.4,"19,215 Ratings & 1,342 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme GT Neo 3T,"₹18,999",4.3,"23,552 Ratings & 2,348 Reviews",6,128.0,5000.0,6.62,64MP
Realme,realme Narzo N65 5G,"₹12,394",4.3,"2,087 Ratings & 112 Reviews",4,128.0,5000.0,6.67,50MP
Realme,realme Narzo N65 5G,"₹12,835",4.3,"2,087 Ratings & 112 Reviews",4,128.0,5000.0,6.67,50MP
Realme,realme GT 7T,"₹37,999",4.5,259 Ratings & 25 Reviews,12,256.0,7000.0,6.8,50MP
Realme,realme GT 7T,"₹37,999",4.5,259 Ratings & 25 Reviews,12,256.0,7000.0,6.8,50MP
Realme,realme GT 7T,"₹41,999",4.5,259 Ratings & 25 Reviews,12,512.0,7000.0,6.8,50MP
Realme,realme GT 7T,"₹37,999",4.5,259 Ratings & 25 Reviews,12,256.0,7000.0,6.8,50MP
Realme,realme GT 7T,"₹41,999",4.5,259 Ratings & 25 Reviews,12,512.0,7000.0,6.8,50MP
Realme,realme GT Neo 3T,"₹21,390",4.3,"16,232 Ratings & 1,501 Reviews",8,128.0,5000.0,6.62,64MP
Realme,realme GT 6T 5G,"₹31,499",4.5,"3,345 Ratings & 248 Reviews",8,256.0,5500.0,6.78,50MP
Realme,realme GT 7 Pro,"₹54,999",4.5,58 Ratings & 5 Reviews,16,512.0,5800.0,6.78,50MP
Realme,realme GT 6,"₹32,999",4.5,"5,569 Ratings & 599 Reviews",16,512.0,5500.0,6.78,50MP
Realme,realme GT 6,"₹28,999",4.5,"4,928 Ratings & 446 Reviews",12,256.0,5500.0,6.78,50MP
