Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
OnePlus,Nokia 105 Classic without Charger,"₹1,049",3.7,"6,164 Ratings & 263 Reviews",,,800.0,1.77,0MP
OnePlus,REDMI 15 5G,"₹14,099",4.2,671 Ratings & 35 Reviews,6.0,128.0,7000.0,6.9,50MP
OnePlus,"LAVA A5 2023 Keypad Mobile, LED Torch, FM Radio,Call Recording, Expandable Upto 32 GB",₹990,3.9,428 Ratings & 23 Reviews,,,1000.0,2.4,3MP
OnePlus,REDMI A5,"₹7,499",4.2,"3,840 Ratings & 194 Reviews",4.0,128.0,5200.0,6.88,32MP
OnePlus,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,239",3.8,"1,79,056 Ratings & 11,393 Reviews",,,1000.0,1.77,0MP
OnePlus,Jio PRIMA2 4G,"₹3,230",3.8,"1,569 Ratings & 79 Reviews",,4.0,1800.0,2.4,3MP
OnePlus,Jio F320B,"₹1,749",3.7,"5,287 Ratings & 301 Reviews",,4.0,1500.0,2.4,3MP
OnePlus,OnePlus 7T Pro,"₹39,999",4.5,834 Ratings & 68 Reviews,8.0,256.0,4085.0,6.67,48MP
OnePlus,OnePlus Nord CE 5G,"₹28,999",4.1,541 Ratings & 47 Reviews,12.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus Nord CE 2 5G,"₹17,990",4.2,607 Ratings & 55 Reviews,6.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus Nord CE 5G,"₹24,699",3.6,129 Ratings & 10 Reviews,8.0,128.0,4500.0,6.43,64MP
OnePlus,Banety SM-Metro E313 Keypad Mobile Phone,₹890,,,,,1000.0,2.03,3MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,Jio F320 B Lyf,"₹1,715",3.7,18 Ratings & 1 Reviews,,,1500.0,6.1,3MP
OnePlus,Banety Single SIM Keypad Mobile Phone with Wireless FM,₹830,,,,,800.0,1.52,0MP
OnePlus,Kechaoda K33,₹977,4.0,"11,019 Ratings & 621 Reviews",,32.0,800.0,1.44,3MP
OnePlus,Rastic SM Guruu Music 2 Mobile,₹830,,,,,850.0,2.5,0MP
OnePlus,Jio Refurbished rileance F90C,"₹1,549",3.3,19 Ratings & 0 Reviews,,4.0,1500.0,2.4,1MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"23,720 Ratings & 1,386 Reviews",,,1900.0,2.8,8MP
OnePlus,Rastic SM Guruu Music 2,₹818,3.5,22 Ratings & 1 Reviews,,,850.0,2.5,0MP
OnePlus,hmd 105 Dual Sim,"₹1,079",3.7,"3,718 Ratings & 272 Reviews",,,1000.0,2.0,
OnePlus,hmd 105 Dual Sim,"₹1,079",3.7,"3,718 Ratings & 272 Reviews",,,1000.0,2.0,
OnePlus,REDMI A5,"₹7,499",4.2,"3,840 Ratings & 194 Reviews",4.0,128.0,5200.0,6.88,32MP
OnePlus,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,998",3.8,"10,435 Ratings & 656 Reviews",,,1450.0,2.4,0MP
OnePlus,REDMI 15 5G,"₹14,098",4.2,671 Ratings & 35 Reviews,6.0,128.0,7000.0,6.9,50MP
OnePlus,REDMI 14C 5G,"₹10,850",4.2,"7,883 Ratings & 402 Reviews",6.0,128.0,5160.0,6.88,50MP
OnePlus,Jio PRIMA2 4G,"₹3,230",3.8,"1,569 Ratings & 79 Reviews",,4.0,1800.0,2.4,3MP
OnePlus,Nokia 105 Classic without Charger,"₹1,049",3.7,"6,164 Ratings & 263 Reviews",,,800.0,1.77,0MP
OnePlus,Kechaoda A27,₹873,4.0,"15,513 Ratings & 856 Reviews",,,800.0,0.66,0MP
OnePlus,IQOO Z10X 5G,"₹14,167",4.4,"6,933 Ratings & 367 Reviews",6.0,128.0,6500.0,6.7,50MP
OnePlus,LAVA A3 Torch,"₹1,329",4.1,475 Ratings & 33 Reviews,,,1750.0,1.8,3MP
OnePlus,Kechaoda K115,₹989,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Kechaoda A26_Pink,₹880,4.0,"1,858 Ratings & 48 Reviews",,16.0,800.0,0.66,0MP
OnePlus,"KARBONN Jumbo K9 Keypad Mobile Phone 2.4inch LCD2 MP Camera,1800mAh Battery,FM Vibratore","₹1,299",4.0,292 Ratings & 12 Reviews,,,1800.0,2.4,2MP
OnePlus,REDMI A4,"₹9,618",4.2,824 Ratings & 31 Reviews,6.0,128.0,5160.0,6.88,50MP
OnePlus,REDMI A4,"₹9,392",4.2,824 Ratings & 31 Reviews,6.0,128.0,5160.0,6.88,50MP
OnePlus,Kechaoda A27,₹889,4.0,"15,513 Ratings & 856 Reviews",,,800.0,1.68,0MP
OnePlus,IQOO Z10X 5G,"₹17,299",4.4,"3,856 Ratings & 189 Reviews",8.0,256.0,6500.0,6.7,50MP
OnePlus,REDMI A4 5G only on Jio SIM,"₹7,978",4.3,"11,094 Ratings & 477 Reviews",4.0,64.0,5160.0,6.88,50MP
OnePlus,Jio JioBharat V4 Keypad Phone,₹799,3.7,702 Ratings & 42 Reviews,,4.0,1000.0,1.7,3MP
OnePlus,Kechaoda A26,₹889,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,0MP
OnePlus,Apple iPhone 14,"₹54,900",4.6,"3,19,964 Ratings & 11,877 Reviews",,128.0,,6.1,12MP
OnePlus,POCO F7 5G,"₹30,999",4.4,"15,611 Ratings & 1,575 Reviews",12.0,256.0,7550.0,6.83,50MP
OnePlus,REDMI A4,"₹8,744",4.3,"11,094 Ratings & 477 Reviews",4.0,128.0,5160.0,6.88,50MP
OnePlus,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,239",3.8,"1,79,056 Ratings & 11,393 Reviews",,,1000.0,1.77,0MP
OnePlus,Nokia 106,"₹1,348",3.6,"9,025 Ratings & 521 Reviews",,,1000.0,6.7,
OnePlus,LAVA Bold N1 Pro,"₹7,399",4.0,174 Ratings & 12 Reviews,4.0,128.0,5000.0,6.6,50MP
OnePlus,LAVA Hero Shakti 2025,₹919,4.1,178 Ratings & 5 Reviews,,32.0,800.0,1.8,0MP
OnePlus,MOTOROLA Moto A300,"₹1,409",4.0,181 Ratings & 13 Reviews,,,1000.0,2.0,3MP
OnePlus,IQOO Z10 5G,"₹20,600",4.4,"4,067 Ratings & 195 Reviews",8.0,128.0,7300.0,6.7,50MP
OnePlus,IQOO Z10R 5G,"₹18,816",4.4,"2,179 Ratings & 124 Reviews",8.0,128.0,5700.0,6.77,50MP
OnePlus,REDMI 14C 5G,"₹9,535",4.2,"7,758 Ratings & 387 Reviews",4.0,128.0,5160.0,6.88,50MP
OnePlus,Kechaoda A26,₹879,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,0MP
OnePlus,Kechaoda A26,₹879,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,0MP
OnePlus,Kechaoda A26,₹898,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,
OnePlus,Apple iPhone 16 Pro,"₹1,09,900",4.7,"26,630 Ratings & 1,151 Reviews",,128.0,,6.3,48MP
OnePlus,LAVA Hero Shakti 2025,₹909,4.1,178 Ratings & 5 Reviews,,32.0,800.0,1.8,0MP
OnePlus,IQOO Neo 10,"₹35,695",4.6,974 Ratings & 75 Reviews,8.0,256.0,7000.0,6.78,50MP
OnePlus,IQOO Neo 10,"₹32,945",4.6,974 Ratings & 75 Reviews,8.0,128.0,7000.0,6.78,50MP
OnePlus,REDMI Note 14 5G,"₹16,312",4.2,"2,869 Ratings & 150 Reviews",8.0,256.0,5110.0,6.67,50MP
OnePlus,REDMI 15 5G,"₹16,485",4.2,"1,526 Ratings & 81 Reviews",8.0,256.0,7000.0,6.9,50MP
OnePlus,MOTOROLA Moto A300,"₹1,398",4.0,181 Ratings & 13 Reviews,,,1000.0,2.0,3MP
OnePlus,IQOO Z10R 5G,"₹18,817",4.4,"2,179 Ratings & 124 Reviews",8.0,128.0,5700.0,6.77,50MP
OnePlus,Nokia 105 Classic with Charger,"₹1,289",3.4,"9,697 Ratings & 628 Reviews",,,800.0,1.77,0MP
OnePlus,Kechaoda A26,₹889,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,0MP
OnePlus,IQOO Z10 Lite 5G,"₹13,690",4.2,"1,469 Ratings & 62 Reviews",8.0,256.0,6000.0,6.74,50MP
OnePlus,Micromax X1i Smart,"₹1,124",3.8,"2,782 Ratings & 165 Reviews",,,1200.0,2.4,08MP
OnePlus,Kechaoda A26,₹889,4.0,"29,424 Ratings & 1,618 Reviews",,,800.0,0.66,
OnePlus,POCO F7 5G,"₹32,999",4.4,"15,611 Ratings & 1,575 Reviews",12.0,512.0,7550.0,6.83,50MP
OnePlus,GFive A1-C,₹480,3.5,330 Ratings & 16 Reviews,,,1100.0,1.8,1MP
OnePlus,IQOO Z10R 5G,"₹21,435",4.4,"2,179 Ratings & 124 Reviews",8.0,256.0,5700.0,6.77,50MP
OnePlus,IQOO Neo 10,"₹37,480",4.6,974 Ratings & 75 Reviews,8.0,256.0,7000.0,6.78,50MP
OnePlus,Kechaoda K115,₹974,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Jio V4,₹768,3.7,"1,645 Ratings & 98 Reviews",,,1000.0,1.77,3MP
OnePlus,IQOO Z10 Lite 5G,"₹11,618",4.2,"2,150 Ratings & 87 Reviews",6.0,128.0,6000.0,6.74,50MP
OnePlus,REDMI 15 5G,"₹16,957",4.2,"1,526 Ratings & 81 Reviews",8.0,256.0,7000.0,6.9,50MP
OnePlus,Kechaoda A27,₹884,4.0,"15,513 Ratings & 856 Reviews",,,800.0,0.66,5MP
OnePlus,itel Ace2 Power,"₹1,149",4.1,587 Ratings & 33 Reviews,,,2500.0,1.8,
OnePlus,REDMI 14C 5G,"₹9,499",4.2,"7,758 Ratings & 387 Reviews",4.0,64.0,5160.0,6.88,50MP
OnePlus,IQOO Neo 10R 5G,"₹28,647",4.5,"2,328 Ratings & 145 Reviews",12.0,256.0,6400.0,6.78,50MP
OnePlus,IQOO Z10 5G,"₹22,779",4.4,"4,067 Ratings & 195 Reviews",8.0,256.0,7300.0,6.77,50MP
OnePlus,REDMI 14C 5G,"₹11,500",4.2,"7,758 Ratings & 387 Reviews",4.0,128.0,5160.0,6.88,50MP
OnePlus,Kechaoda A27,₹873,4.0,"15,513 Ratings & 856 Reviews",,,800.0,0.66,0MP
OnePlus,IQOO Neo 10,"₹33,999",4.6,974 Ratings & 75 Reviews,8.0,128.0,7000.0,6.78,50MP
OnePlus,IQOO Neo 10R 5G,"₹25,759",4.5,"4,539 Ratings & 292 Reviews",8.0,128.0,6400.0,6.78,50MP
OnePlus,IQOO Z10R 5G,"₹22,965",4.2,192 Ratings & 14 Reviews,12.0,256.0,5700.0,6.77,50MP
OnePlus,Motorola Moto A10E,"₹1,430",4.0,"8,871 Ratings & 599 Reviews",,,800.0,1.8,
OnePlus,LAVA Gem 2025,"₹1,625",4.2,193 Ratings & 16 Reviews,,32.0,2575.0,2.8,3MP
OnePlus,REDMI 15 5G,"₹15,398",4.2,"1,526 Ratings & 81 Reviews",8.0,128.0,7000.0,6.9,50MP
OnePlus,Apple iPhone 16 Pro,"₹1,19,900",4.7,"26,630 Ratings & 1,151 Reviews",,256.0,,6.3,48MP
OnePlus,Apple iPhone 16 Plus,"₹86,999",4.6,"3,922 Ratings & 208 Reviews",,256.0,,6.7,48MP
OnePlus,Kechaoda A27,₹879,4.0,"15,513 Ratings & 856 Reviews",,,800.0,0.66,
OnePlus,IQOO Neo 10R 5G,"₹26,709",4.5,"4,539 Ratings & 292 Reviews",8.0,256.0,6400.0,6.78,50MP
OnePlus,LAVA Gem 2025,"₹1,627",4.2,193 Ratings & 16 Reviews,,32.0,2575.0,2.8,3MP
OnePlus,REDMI 15 5G,"₹14,120",4.2,671 Ratings & 35 Reviews,6.0,128.0,7000.0,6.9,50MP
OnePlus,Apple iPhone 16 Pro,"₹1,19,900",4.7,"26,630 Ratings & 1,151 Reviews",,256.0,,6.3,48MP
OnePlus,REDMI 15 5G,"₹15,348",4.2,"1,526 Ratings & 81 Reviews",8.0,128.0,7000.0,6.9,50MP
OnePlus,Kechaoda K115,₹989,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Kechaoda K115,₹989,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Kechaoda A26_rose gold,₹873,3.9,615 Ratings & 17 Reviews,,16.0,800.0,0.66,0MP
OnePlus,REDMI 15 5G,"₹14,070",4.2,671 Ratings & 35 Reviews,6.0,128.0,7000.0,6.9,50MP
OnePlus,Kechaoda A26_rose gold,₹873,3.9,615 Ratings & 17 Reviews,,16.0,800.0,0.66,0MP
OnePlus,Kechaoda K115,₹989,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Kechaoda K115,₹989,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Apple iPhone 16,"₹69,900",4.6,"1,77,133 Ratings & 5,583 Reviews",,128.0,,6.1,48MP
OnePlus,"Nokia 2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,890",4.2,"1,690 Ratings & 98 Reviews",46875.0,125.0,1450.0,2.8,3MP
OnePlus,REDMI 14C 5G,"₹10,400",4.2,"7,883 Ratings & 402 Reviews",6.0,128.0,5160.0,6.88,50MP
OnePlus,Kechaoda K115,₹978,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,Kechaoda K115,₹998,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,REDMI 14C 5G,"₹9,554",4.2,"7,758 Ratings & 387 Reviews",4.0,128.0,5160.0,6.88,50MP
OnePlus,IQOO Neo 10R 5G,"₹25,890",4.5,"4,539 Ratings & 292 Reviews",8.0,128.0,6400.0,6.78,50MP
OnePlus,IQOO Z10 5G,"₹22,779",4.4,"4,067 Ratings & 195 Reviews",8.0,256.0,7300.0,6.77,50MP
OnePlus,Banety Single SIM Keypad Mobile Phone with Wireless FM,₹830,,,,,800.0,1.52,0MP
OnePlus,hmd 105 Dual Sim,"₹1,079",3.7,"3,718 Ratings & 272 Reviews",,,1000.0,2.0,
OnePlus,Kechaoda K115,₹988,4.1,"42,460 Ratings & 2,682 Reviews",,,850.0,1.44,3MP
OnePlus,IQOO Z10R 5G,"₹22,968",4.2,192 Ratings & 14 Reviews,12.0,256.0,5700.0,6.77,50MP
OnePlus,REDMI 15 5G,"₹15,398",4.2,"1,526 Ratings & 81 Reviews",8.0,128.0,7000.0,6.9,50MP
OnePlus,Kechaoda K115,₹975,4.1,"42,460 Ratings & 2,682 Reviews",,32.0,850.0,1.44,3MP
OnePlus,LAVA Hero Shakti 2025,₹975,4.1,"2,520 Ratings & 153 Reviews",,32.0,800.0,1.8,0MP
OnePlus,Apple iPhone 16,"₹79,900",4.6,"1,77,133 Ratings & 5,583 Reviews",,256.0,,6.1,48MP
